texts,labels
"As a publisher, I want to package reproducible steps to get a certain data state, so my methodology is transparent and can be rerun by others.",Maintainability
"As a site member, I want to mark my email address as private even if the rest of my profile is not, so that no one can contact me.",Security
"As a site member, I want to send an email to any member via a form, so that we can connect.",Usability
"As a site visitor, I want to read current news on the home page, so that I stay current on agile news.",Usability
"As a site visitor, I want to access old news that is no longer on the home page, so that I can access things I remember from the past or that others mention to me.",Usability
"As a site editor, I want to assign priority numbers to news items, so that I can indicate which articles I want featured most prominently on the site.",Usability
"As a site member, I want to mark my email address as private even if the rest of my profile is not, so that no one can contact me.",Usability
"As a site member, I want to send an email to any member via a form, so that we can connect.",Usability
"As a site administrator, I want to read practicing and training applications and approve or reject them, so that only applicants who qualify can become CSPs or CSTs.",Usability
"As a site administrator, I want to edit any site member profile, so that I can correct problems for members.",Usability
"As a site visitor, I want to read current news on the home page, so that I stay current on agile news.",Security
"As a site visitor, I want to access old news that is no longer on the home page, so that I can access things I remember from the past or that others mention to me.",Security
"As a site visitor, I want to email news items to the editor, so that they can be considered for publication.",Maintainability
"As a site editor, I want to set the following dates on a news item: Start Publishing Date, Old News Date, Stop Publishing Date, so that articles are published on and through appropriate dates.",Maintainability
"As a site member, I want to subscribe to an RSS feed of news, so that I remain sufficiently and easily informed.",Maintainability
"As a site editor, I want to assign priority numbers to news items, so that I can indicate which articles I want featured most prominently on the site.",Usability
"As a site admin, I want to delete any course or event, so that I can remove things that will no longer occur.",Maintainability
"As a site editor, I want to update any course or event, so that I can fix things the original author hasn't.",Maintainability
"As a site visitor, I want to have an advanced search option that lets me fill in a form of search criteria, so that I can quickly find what I am looking for.",Usability
"As a site visitor, I want to view a course I can click on the trainer's name and be taken to the trainer's profile, so that I can read more about a trainer before registering for a course.",Usability
"As a site visitor, I want to subscribe to an RSS feed of upcoming courses and events, so that I am up to day without having to visit the site.",Usability
"As a site visitor, I want to read FAQs, so that I can get quick answers.",Usability
"As a site editor, I want to maintain a FAQ section, so that support gets fewer easily answered questions.",Maintainability
"As a site visitor, I want to do a full-text search of the FAQs, so that I can find an answer quickly.",Usability
"As a site member, I want to scroll through a listing of jobs, so that I can see if there any I am interested in.",Usability
"As a site admin, I want to approve each help wanted ad before it gets to the site, so that we're sure of the quality of jobs being listed.",Security
"As a site member, I want to subscribe to an RSS feed of jobs available, so that I can read them without visiting the site.",Usability
"As a site admin, I want to edit and delete help wanted ads, so that I can correct small problems or make sure each ad complies with site guidelines.",Maintainability
"As the site editor, I want to include a teaser with each article, so that site visitors can decide if they want to read the rest.",Usability
"As a site member who has read a teaser on the front page, I want to read the entire article so that I can finish articles that appeal to me.",Usability
"As a site editor, I want to be able to designate whether or not an ever makes the home page, so that the best content is featured most prominently.",Usability
"As the site editor, I want to have pretty good control over how the article, so that articles are visually appealing.",Usability
"As a site visitor, I want to click the link from the article teaser to take me directly to the body of the article. not to another teaser setup, so that I can easily finish the article.",Usability
"As a site editor, I want to be able to indicate whether an article is publicly available or for members only, so that visitors are incentivized to become members.",Security
"As a site editor, I want to have a prominent area on the home page where I can put special announcements not necessarily news or articles, so that I can give them additional exposure.",Usability
"As a site editor, I want to have some flexibility as to where things appear, so that I can accommodate different types of content.",Usability
"As a site visitor, I want to be able to get back to the home page quickly and easily, so that I don't get lost navigating.",Usability
"As a trainer, I want to be assured that no one can submit the same answers multiple times and skew my results, so that my ratings are accurate.",Security
"As a site admin, I want to move people in a trainer's class from a pending state to the registry once I have received proof of payment from the trainer.",Security
"As a site editor, I want to edit the content of the email automatically sent to new Certified Scrum Masters and Product Owners, so that I don't need to involve a programmer on simple email edits.",Maintainability
"As a company, I want to join the Scrum Alliance by paying a corporate membership fee, so that I can show the company's support of Scrum.",Security
"As a corporatesponsor, I want to make my logo randomly appear on the home page, so that others see the company's support of Scrum.",Usability
"As a site administrator, I want to set the annual fees for members, Practitioners and Trainers, so that fees can be set without involving a programmer.",Maintainability
"As a site editor, I want to post information in a trainers-only section, so that only trainers see it.",Security
"As a content editor, I want to be able to easily find content, so that I can edit it.",Usability
"As a research participant, I want to make sure that the appearance of the prototype does not distract from the workflow, so that I can complete the user interview.",Usability
"As a team member, I want to meet with DIS / cloud.gov, so that I can determine the requirements for the beta.nsf.gov ATO.",Maintainability
"As a user researcher, I want to have a list of priority workflow candidates that we might test, so that I can make sure we're capturing the priority areas.",Usability
"As a team member, I want to understand what the MVP should look like, so that I can begin understanding workflow needs as they pertain to any CMS decision.",Usability
"As an NSF administrator, I want to shadow the CMS implementation, so that I can learn as the prototype is developed further.",Usability
"As a team member, I want to have an updated acquisitions roadmap, so that I can plan accordingly.",Maintainability
"As an NSF employee, I want to have an updated roadmap document, so that I can see prioritized areas to focus on for the next few months and beyond.",Maintainability
want to understand how time off overlaps with plans around the user research.,Usability
"As an NSF employee, I want to narrow down the universe of CMS options and identify/prioritize key considerations for getting to the next step.",Maintainability
"As an NSF employee, I want to have high-level strategy recommendations to implement in conjunction with the new CMS.",Maintainability
"As an NSF employee, I want to know how brand guidelines are developed and maintained, so that I can incorporate them throughout the project.",Maintainability
"As an NSF employee, I want to know how visual design directions were developed, so that I can make better design decisions in the future.",Usability
"As a content designer, I want to develop a better understanding of NSF's content types and editorial plan, so that I can make more informed recommendations going forward.",Usability
"As a content designer, I want to demonstrate the value of user-centered content design to ensure it's an integral part of our recommendations.",Usability
"As a workshop attendee, I want to have a summary of what we learned, so that I can understand our next steps and how they apply to me.",Usability
"As an NSF employee, I want to learn about how Github is used, so that I can participate in the issues as assigned.",Usability
"As a VisualDesigner, I want to concept different styles for the nsf.gov website, so that we can discuss different design concepts with stakeholders.",Usability
"As a VisualDesigner, I want to create a moodboard to aid with visual design concepts for the nsf.gov website, so that we can discuss different design concepts with stakeholders.",Usability
"As a workshop attendee, I want to see a summary on major findings from the event.",Usability
"As a VisualDesigner, I want to demonstrate the value of visual design to the NSF project team, so that visual design is an integral part of a redesign.",Usability
"As an NSF employee, I want to see how the user recruitment form looks and behaves on a sample page, so that I can understand the impact the recruitment will have on the NSF page.",Usability
"As a site administrator, I want to understand how other similar organizations are handling visual design, so that I can make informed decisions about what appears to work well and what doesn't.",Usability
"As a site administrator, I want to understand how other similar organizations are handling content, so that I can make informed decisions about what appears to work well and what doesn't.",Usability
"As a designer, I want to have a style guide / design guide / content guide, so that we have a uniform way of delivering product.",Maintainability
"As a Data user, I want to have the 12-19-2017 deletions processed.",Security
"As a UI designer, I want to report to the Agencies about user testing, so that they are aware of their contributions to making Broker a better UX.",Usability
"As a UI designer, I want to move on to round 2 of DABS or FABS landing page edits, so that I can get approvals from leadership.",Usability
"As a UI designer, I want to move on to round 2 of Homepage edits, so that I can get approvals from leadership.",Usability
"As a UI designer, I want to move on to round 3 of the Help page edits, so that I can get approvals from leadership.",Usability
"As a Developer , I want to be able to log better, so that I can troubleshoot issues with particular submissions and functions.",Reliability
"As a DevOps engineer, I want New Relic to provide useful data across all applications.",Compatibility
"As a UI designer,  I want to move on to round 2 of the Help page edits, so that I can get approvals from leadership.",Usability
"As a UI designer, I want to move on to round 2 of Homepage edits, so that I can get approvals from leadership.",Usability
"As a Broker user, I want to Upload and Validate the error message to have accurate text.",Maintainability
"As a Broker user, I want the D1 file generation to be synced with the FPDS data load, so that I don't have to regenerate a file if no data has been updated.",Usability
"As a Website user, I want to access published FABS files, so that I can see the new files as they come in.",Usability
"As an owner, I want to be sure that USAspending only send grant records to my system.",Security
"As a Developer, I want to update the Broker validation rule table to account for the rule updates in DB-2213.",Security
"As a Developer, I want to add the GTAS window data to the database, so that I can ensure the site is locked down during the GTAS submission period.",Security
"As a Developer, I want D Files generation requests to be managed and cached, so that duplicate requests do not cause performance issues.",Performance
"As an Agency user, I want to be able to include a large number of flexfields without performance impact.",Performance
"As a UI designer, I want to track the issues that come up in Tech Thursday, so that I know what to test and what want s to be fixed.",Maintainability
"As a Developer, I want to prevent users from double publishing FABS submissions after refreshing, so that there are no duplicates.",Usability
"As an Agency user, I want to be able to include a large number of flexfields without performance impact.",Performance
"As a Developer , I want to ensure that attempts to correct or delete non-existent records don't create new published data.",Security
"As an Owner, I want to reset the environment to only take Staging MAX permissions, so that I can ensure that the FABS testers no longer have access.",Security
"As a Developer , I want to clarify to users what exactly is triggering the CFDA error code in each case.",Reliability
"As an agency user, I want to be confident that the data coming from SAM is complete.",Usability
"As a Developer , I want my domain models to be indexed properly, so that I can get validation results back in a reasonable amount of time.",Performance
"As a broker team member, I want to make some updates to the SQL codes for clarity.",Maintainability
"As a broker team member, I want to add the 00***** and 00FORGN PPoPCode cases to the derivation logic.",Maintainability
"As a data user, I want to see the office names derived from office codes, so that I can have appropriate context for understanding them.",Usability
"As a broker user, I want the historical FABS loader to derive fields, so that my agency codes are correct in the PublishedAwardFinancialAssistance table.",Maintainability
"As a user, I don't want to see NASA grants displayed as contracts.",Usability
"As a broker team member, I want to derive FundingAgencyCode, so that the data quality and completeness improves.",Maintainability
"As an agency user, I want the maximum length allowed for LegalEntityAddressLine3 to match Schema v1.1.",Security
"As a FABS user, I want to link the SAMPLE FILE on the ""What you want  to submit"" dialog to point to the correct file, so that I have an accurate reference for my agency submissions.",Usability
"As an Agency user, I want to receive a more helpful file-level error when I upload a file with the wrong extension.",Usability
"As a tester, I want to have access to test features in environments other than Staging, so that I can test any nonProd feature in any environment.",Maintainability
"As a FABS user, I want to submission errors to accurately represent FABS errors, so that I know why my submission didn't work.",Reliability
"As a FABS user, I want the frontend URLs to more accurately reflect the page I'm accessing, so that I'm not confused.",Usability
"As an Agency user, I want to accurately see who created a submission, so that I'm not confused about who last updated a submission.",Usability
"As an Agency user, I want to better understand my file-level errors.",Reliability
"As a tester, I want to ensure that FABS is deriving fields properly through a robust test file plus a follow up check.",Maintainability
"As a Broker user, I want to submit records for individual recipients without receiving a DUNS error.",Reliability
"As a user, I want more information about how many rows will be published prior to deciding whether to publish.",Usability
"As a Developer, I want to prevent duplicate transactions from being published and deal with the time gap between validation and the publishing decision.",Performance
"As a Broker user, I want to have updated error codes that accurately reflect the logic and provide enough information, so that I can fix my submission.",Reliability
"As an agency user, I want to leave off the last 4 digits of the ZIP without an error, so that I can complete my submissions.",Usability
"As a FABS user, I want to make sure the historical data includes all necessary columns, so that the information in the database is correct.",Maintainability
"As a FABS user, I want additional helpful info in the submission dashboard, so that I can better manage submissions and IG requests.",Usability
"As a Developer I want to quickly access Broker application data, so that I can investigate issues.",Reliability
"As a Developer , I want to determine the best way to load historical FPDS data, so that I can load all FPDS data since 2007.",Performance
"As a FABS user, I want the language on FABS pages to be appropriate for me, so that I am not confused.",Usability
"As a FABS user, I do not want  DABS banner messages and vice versa, so that I have the appropriate information for my application.",Usability
"As a FABS user, I want to have read-only access to DABS, so that I can view DABS pages without wanting two sets of permissions.",Usability
"As a FABS user, I want to have my validations run in a reasonable amount of time.",Performance
"As a FABS user, I want to see correct status labels on the Submission Dashboard, so that I can quickly see my submission history.",Usability
"As an agency user, I want to know when the submission periods start and end, so that I know when the submission starts and ends.",Usability
"As a ProspectiveApplicant, I want to research requirements and to select a service, so that I can find the relevant service and/or application type to initiate via the online portal.",Usability
"As an Applicant, I want to Check the Status of a transaction, so that I can understand where the provisioning of my service is in the process, such as information related to service levels, fees, plan review, permit, or inspection results.",Usability
"As a Staff member, I want to Perform a Completeness Review, so that I can validate when an application is complete and eligible for further technical review.",Usability
"As a user, I want to click on the address, so that it takes me to a new tab with Google Maps.",Usability
"As a user, I want to have a flexible pick up time, so that I can more conveniently use the website.",Usability
"As a user, I want to choose a flexible pick up time, so that I can more conveniently use the website.",Usability
"As a user, I want to view user documentation for the website, so that I know how to use the web app.",Usability
"As a user, I want to get feedback when I enter an invalid zip code.",Reliability
"As an admin, I want to be able to read users' feedback and complaints, so that we can add more features and keep improving the service we provide to them.",Usability
"As a user, I want to have a great UI and UX from the sites, so that I have a pleasant experience when navigating through them.",Usability
"As a user, I want to be able to access the site and do all the other stuffs on all of my electronic devices.",Portability
"As an admin, I want to be able to block specific users based on IP address, so that I can prevent spamming on the websites.",Security
"As an admin, I want to view a dashboard that monitors all the sites' statuses, so that I can have a sense of what people are doing on our sites and know the service status.",Reliability
"As an admin, I want to have all data encrypted, so that important information will not be stolen during a server breach or an attack.",Security
"As a developer, I want to access an API from the website, so that I can integrate it and implement certain features in my own iOS application.",Compatibility
"As a user, I want to have my personal information kept securely in the database of the website, so that I will not suffer from identity theft or telephone harassment.",Security
"As an admin, I want to handle all users' activities, so that I can manage more efficiently.",Performance
"As a company, I want to have a website that is easy to use, so that I can upload or delete stuff step by step.",Usability
"As an employee, I want to get quick notifications, so that I can process cases the first time.",Performance
"As a developer, I want to use bootstrap in the process of developing, so that I can easily design my website.",Compatibility
"As a developer, I want to attend some UI/UX lessons, so that I can develop an awesome and beautiful features website.",Usability
"As a user, I want to link my email account to my profile, so that I can get a temporary password in case I forget my own one.",Usability
"As a user, I want to contact the administrators, so that I can give feedback or ask for help.",Usability
"As an admin, I want to add recycling center information, so that I can keep the database up-to-date over time.",Maintainability
"As an admin, I want to view user error logs, so that I can fix or review any issues that are being faced by users of the system.",Reliability
"As an admin, I want to onboard recycling centers on the platform, so that I can increase information accuracy.",Usability
"As a superuser, I want to view users' stats, so that I can view in real-time how many users have visited my recycling center information and their recyclable waste.",Performance
"As a recyclingfacility representative, I want to have access to user stats and schedules, so that I can adjust my hours and/or upgrade equipment and capacity in order to be able to accomodate larger amounts of recyclable materials.",Usability
"As a recyclingfacility, I want to be able to communicate directly with the site admin and convey any issues or concerns I have, so that they fix them.",Maintainability
"As a Data Publishing User, I want to be able to edit the model of data I have already imported, So that I can fix bugs or make enhancements in the API built for my data.",Reliability
"As a Data Publishing User, I want to be able to delete a dataset I have published, So that I can remove unwanted data from OpenSpending.",Security
"As a Platform Administrator, I want to be able to Hide any dataset already added as Public, So that I can maintain Public/Hidden status for other users.",Security
"As a Platform Administrator, I want to be able to delete any dataset published, So that I can deal with takedown requests, or clean up test datasets.",Security
"As a Data Publishing User, I want to be able to edit the data source of data I have already imported, So that I can fix bugs or make enhancements in the API built for my data.",Reliability
"As a Data Publishing User, I want to know what my data needs to be able to be visualised on a map, So that I can visualise it on a map.",Usability
"As a Data Publishing User, I want to be able to import data in JSON, So that I do not have to convert data formats in order to use the data packager.",Usability
"As a Data Publishing User, I want to be able to import data from a Google Spreadsheet, So that I do not have to convert data formats in order to use the data packager.",Usability
"As a Data Publishing User, I want to be able to import data from Fiscal Data Package descriptor file, So that I do not have to convert data formats in order to use the data packager.",Usability
"As a Data Publishing User, I want to be able to provide the Platform Administrator with additional GeoJSON sources, So that I can improve the map-based visualisations of my data.",Usability
"As a Data Consuming User, I want to be able to download a CSV of the data that is used in any visualisation I am viewing, So that I can use the data in other tools.",Usability
"As a Data Consuming User, I want to see textual descriptions that accompany embedded visualisations, So that I can more easily understand what I am viewing.",Usability
"As a Data Consuming User, I want to be able to have stepped zoom on map visualisations, So that I can have better control over the navigation experience inside a map view.",Usability
"As a Data Consuming User, I want to have consistent use of colour on map visualisations, So that I can better understand the visual logic of the map view.",Usability
"As a Developer, I want to be able to customise the Brand Name and Icon, and Primary Color of all frontend Javascript apps, So that I can customise the branding for my own needs.",Usability
"As an API User, I want to be able to understand if a user is a Publisher, So that I can offer functionality based on Dataset Publisher privileges.",Usability
"As an API User, I want to be able to understand if a user is an Administrator, So that I can offer functionality based on Platform Administration privileges.",Usability
"As an API User, I want to be able to persistently store visualisation state in the database, So that such can be shared more easily and contribute to a visualisation gallery.",Maintainability
"As a Data Publishing User, I want to have my dataset update automatically as the source file/files changes, So that OpenSpending always shows current data.",Performance
"As an OpenSpending Community Member, I want to have a blog that highlights any and all projects in the open fiscal space, So that I can relate to openspending.org as the central hub of fiscal openness.",Usability
"As a User, I want to be able to set my own username, So that my data is more easily discoverable.",Usability
"As a Data Publishing User, I want to be able to add a dataset in a Hidden state, So that I can work on a dataset before having it discoverable via OpenSpending user interfaces.",Security
"As a Data Publishing User, I want to be able to Hide a dataset that I have already added as Public, So that I can fix my mistakes or have a dataset primarily for my own use.",Security
"As an OpenSpending Community Member, I want to have an app where I can find examples of use of fiscal data visualisations, So that I can find guidance in creating my own with Open Spending.",Usability
"As a Data Publishing User, I want to know if my CSV file is valid, So that I can fix possible data issues before publishing it on Open Spending.",Maintainability
"As a Data Consuming User, I want to visualize by default in treemap, bubble tree, map and pivot table the most recent year when my dataset contain multiple years, So that I'm not confused with the amounts.",Usability
"As an API user, I want to be able to change the colors of the embedded visualisations in my own platform, So that I can customize the visualisations.",Usability
"As an API user, I want to be able to change some of the styling of the embedded Viewer in my own platform, So that I can brand it to my own organisation's color scheme.",Usability
"As a Platform administrator, I want to be able to translate the data types hierarchies of the Viewer while in embed mode, So that my users can understand the interface in their native language.",Usability
"As a Researcher, I want to get a Data Package into Julia in seconds, so that I can start using the data for doing analysis and visualizations. ",Performance
"As a Publisher, I want to add type information to my data, so that it is more useful to others and can be used better with tools like visualization programs. ",Usability
"As a Publisher, I want to be able to provide a visualization of data in the Data Package, so that I can provide my analysis and show my work to users of the data. ",Usability
"As a ResearcherPublisher, I want to know that my data conforms to its Data Package profile, so that I can feel trust in the validity and usefulness of the data. ",Maintainability
"As a ResearcherPublisher, I want to understand the ways in which my data is invalid, so that I can know how to fix it. ",Maintainability
"As a Researcher, I want to get a Data Package into R in seconds, so that I can start using the data for doing analysis and visualizations. ",Performance
"As a Researcher, I want to get a Data Package into Excel in seconds, so that I can start using the data for doing analysis and visualizations. ",Performance
"As a Researcher, I want to get a Data Package into SPSS in seconds, so that I can start using the data for doing analysis and visualizations. ",Performance
"As a Researcher, I want to get a Data Package into STATA in seconds, so that I can start using the data for doing analysis and visualizations. ",Performance
"As a Researcher, I want to get a Data Package into LibreOffice/OpenOffice in seconds, so that I can start using the data for doing analysis and visualizations. ",Performance
"As a Developer, I want to get a Data Package into Python in seconds, so that I can start using the data for doing analysis and visualizations. ",Performance
"As a Researcher, I want to get my Excel spreadsheet into a Data Package, so that I can benefit from better tooling and standardization. ",Usability
"As a Developer, I want to get a Data Package into Clojure in seconds, so that I can start using the data in doing analysis and visualizations. ",Performance
"As a Developer, I want to get a Data Package into Julia in seconds, so that I can start using the data in doing analysis and visualizations. ",Performance
"As a Developer, I want to get a Data Package into C++ in seconds, so that I can start using the data in doing analysis and visualizations. ",Performance
"As a Machine Learning expert, I would like to package ML datasets as data packages, so that I can easily import them into my ML platform, so that I can start using the data in doing analysis. ",Usability
"As a ResearcherGovernment Publisher, I want to add general reference data to my narrow dataset, so that my dataset is more useful. ",Usability
"As a ResearcherGovernment Publisher, I want to add general country names to my dataset that only contains country codes, so that my dataset is more readable. ",Usability
"As a ResearcherGovernment Publisher, I want to add reference data on inflation to my spending dataset, so that the spending lines in my dataset is more understandable. ",Usability
"As a Researcher, I want to be able to reference a remote-controlled vocabulary for my dataset, so that I can be sure that column of my dataset are valid against a single shard list of terms. ",Usability
"As a ResearcherPublisher, I want an integration with Zenodo, so that when I store my dataset in GitHub, I don’t have to retype descriptive information about my dataset. ",Usability
"As a Publisher, I want to store my data quickly and easily online. ",Performance
"As a Repository Manager, I want a tool that makes it easy for researchers/ users to add basic metadata to their research data, so that it is more findable and therefore useful. ",Usability
"As a ResearcherPublisher, I want validate my data with a minimum of clicks, so that I can feel trust in the validity and usefulness of the data. ",Usability
"As a publisher, I want to be able to check that every time I update my data it is still good, so that I can catch errors early and store reliable data. ",Maintainability
"As a developer, I want an online service that is connected to my data repository that validates data on update, so that I can delegate data validation to a third party. ",Usability
"As a government Publisher, I want to make it easy to prove that our published data is valid, so that I can claim that we are living up to our transparency commitments. ",Usability
"As a Civic Tech Activist, I want to make it easy to assess the quality of data stored by the government, so that I can make sure that government is living up to its transparency commitments. ",Usability
"As a Developer, I want to customize an existing wizard for my specific type of data, so that I can give my users a great user experience.",Usability
