texts,labels
"As a user, I want to generate and validate D Files from FABS and FPDS data.",Functional
"As an Agency user, I want the header information box to show updated date AND time, so that I know when it was updated.",No-Functional
"As an Agency user, I want to receive a more helpful file-level error when I upload a file with the wrong extension.",No-Functional
"As a tester, I want to have access to test features in environments other than Staging, so that I can test any nonProd feature in any environment.",No-Functional
"As a FABS user, I want submission errors to accurately represent FABS errors, so that I know why my submission didn't work.",No-Functional
"As a FABS user, I want the frontend URLs to more accurately reflect the page I'm accessing, so that I'm not confused.",No-Functional
"As an Agency user, I want all historical Financial Assistance data loaded for FABS go-live.",Functional
"As a Developer, I want the historical FPDS data loader to include both extracted historical data and FPDS feed data.",Functional
"As an Agency user, I want historical FPDS data loaded.",Functional
"As an Agency user, I want to accurately see who created a submission, so that I'm not confused about who last updated a submission.",No-Functional
"As an agency user, I want to get File F in the correct format.",Functional
"As an Agency user, I want to better understand my file-level errors.",No-Functional
"As a Developer, I want to provide FABS groups that function under the FREC paradigm.",Functional
"As a tester, I want to ensure that FABS is deriving fields properly through a robust test file plus a follow up check.",No-Functional
"As an owner, I only want zero-padded fields, so that I can justify padding.",Functional
"As a Broker user, I want to submit records for individual recipients without receiving a DUNS error.",Functional
"As a user, I want more information about how many rows will be published prior to deciding whether to publish.",No-Functional
"As a Developer, I want to prevent duplicate transactions from being published and deal with the time gap between validation and the publishing decision.",Functional
"As a FABS user, I want to submit a citywide as a PPoPZIP and pass validations.",Functional
"As a Broker user, I want to have updated error codes that accurately reflect the logic and provide enough information, so that I can fix my submission.",No-Functional
"As an agency user, I want to leave off the last 4 digits of the ZIP without an error, so that I can complete my submissions.",Functional
"As a FABS user, I want to make sure the historical data includes all necessary columns, so that the information in the database is correct.",Functional
"As a data user, I want to access two additional fields from the FPDS data pull.",Functional
"As a FABS user, I want additional helpful info in the submission dashboard, so that I can better manage submissions and IG requests.",No-Functional
"As a FABS user, I want to download the uploaded FABS file, so that I can get the uploaded file.",Functional
"As a Developer I want to quickly access Broker application data, so that I can investigate issues.",Functional
"As a Developer, I want to determine the best way to load historical FPDS data, so that I can load all FPDS data since 2007.",Functional
"As a FABS user, I want the language on FABS pages to be appropriate for me, so that I am not confused.",No-Functional
"As a FABS user, I do not want DABS banner messages and vice versa, so that I have the appropriate information for my application.",No-Functional
"As a FABS user, I want to have read-only access to DABS, so that I can view DABS pages without wanting two sets of permissions.",No-Functional
"As a FABS user, I want to have my validations run in a reasonable amount of time.",No-Functional
"As a FABS user, I want to see correct status labels on the Submission Dashboard, so that I can quickly see my submission history.",No-Functional
"As an agency user, I want to know when the submission periods start and end, so that I know when the submission starts and ends.",Functional
"As an agency user, I want a landing page to navigate to either FABS or DABS pages, so that I can access both sides of the site.",Functional
"As an agency user, I want to submit my data elements surrounded by quotation marks, so that Excel won't strip off leading and trailing zeroes.",Functional
"As a Public User, I want to Search for Information, so that I can obtain publicly available information concerning properties, County services, processes and other general information.",Functional
"As a ProspectiveApplicant, I want to research requirements and to select a service, so that I can find the relevant service and/or application type to initiate via the online portal.",Functional
"As an Applicant, I want to Request PreApplication Assistance, so that I can receive a response to a request for a meeting or information that is a result of the preapplication assistance.",Functional
"As a Customer, I want to Create a Customer Portal User Account, so that I can log on to the Customer Portal and perform transactions that first require user authentication.",Functional
"As an Applicant, I want to Submit Application, so that I can provide my information, plans and/or documents to initiate a transaction with the County.",Functional
"As an Applicant, I want to Submit Supporting Documentation, so that I can satisfy documentation requirements for my application.",Functional
"As an Applicant, I want to Pay Fee, so that I can satisfy outstanding charge associated with the service requested or received from the County.",Functional
"As an Applicant, I want to Check the Status of a transaction, so that I can understand where the provisioning of my service is in the process, such as information related to service levels, fees, plan review, permit, or inspection results.",Functional
"As an Applicant, I want to Modify my Application, so that I can successfully change information on an application.",Functional
"As a Staff member, I want to Perform a Completeness Review, so that I can validate when an application is complete and eligible for further technical review.",Functional
"As a Staff member, I want to Record an Internal Note, so that I can share information with other Staff collaborating on the record.",Functional
"As a Staff member, I want to Assign an Application for Detailed Review, so that I can review the for compliance and subsequently approved or denied.",Functional
"As a Staff member, I want to Apply a Hold, so that I can prevent progression through the workflow or other actions in the system until the issue is resolved.",Functional
"As a Staff member, I want to Remove a Hold, so that I can allow progression through the workflow or other actions in the system now that the issue has been resolved.",Functional
"As a Staff member, I want to Send a Formal Response to Applicant, so that I can satisfy communication and records responsibilities.",Functional
"As a Staff member, I want to Track the Draft Proffers, so that I can preserve the history of draft proffer statements submitted by the Applicant.",Functional
"As a Staff member, I want to Manage Approved Proffers, so that I can ensure compliance with and satisfaction of the proffer in the future.",Functional
"As a Staff member, I want to Manage Ordinances, so that I can maintain accurate ordinance information in the System.",Functional
"As a Staff member, I want to Schedule a Meeting, so that I can bring the required parties together at a specific date/time to address an issue.",Functional
"As a staff member, I want to denote an application with a Final Action status, so that I can finish it.",Functional
"As a Planning Staff member, I want to Conduct and Track Plan Amendments and Planning Studies, so that I can record work in process, outcome, and location-based information related to the Plan(s).",Functional
"As a Planning Staff member, I want to Generate Planning-related Reports, so that I can access, analyze and/or export the needed information in the format I requested.",Functional
"As a Planning Staff member, I want to Evaluate Consistency with the Comprehensive Plan, so that I can complete my required review of a plan set and/or application.",Functional
"As a Staff member, I want to Perform a Staff Review, so that I can validate compliance of an application with the Zoning Ordinance and impact approval/denial of the application accordingly.",Functional
"As a Zoning Staff member, I want to Process the Requests for Zoning Information, so that I can capture my response to the request in the system and also send a communication from the system to the Applicant.",Functional
"As a Zoning Staff member, I want to Issue the Zoning-Related Permits, so that I can satisfy an Applicant's request for service that has proven to be eligible and in compliance with the Zoning Ordinance.",Functional
"As a Staff member, I want to Develop a Staff Report, so that I can publish and distribute the report according to business rules.",Functional
"As a Staff member, I want to Manage Hearing Calendars, so that I can track hearing-related activities and due dates.",Functional
"As a Staff member, I want to Assign a Hearing Date, so that I can present the application to the appropriate governing body within the timelines dictated by the relevant County rules and procedures.",Functional
"As a Staff member, I want to Manage Affidavits, so that I can ensure compliance with the requirements prior to the hearing.",Functional
"As an Applicant, I want to Satisfy Hearing Requirements, so that I can ensure all pre-hearing requirements are satisfied in time for the hearing.",Functional
"As a Staff member, I want to Prepare for and Support Hearing Execution, so that I can ensure all pre-hearing requirements are satisfied and staff and Applicant are ready for the hearing.",Functional
"As a Staff member, I want to Capture a Hearing Decision, so that I can enforce the system.",Functional
"As a Staff member, I want to Process the Appeals, so that I can track the outcome and record the impact on the relevant records.",Functional
"As a Plan Review Staff member, I want to Assign Plans for Review, so that I can ensure plans have been assigned to the appropriate Plan Reviewer.",Functional
"As a Plan Review Staff Supervisor, I want to Manage Plan Reviewer Workload, so that I can monitor and effectively adjust workload as necessary and ensure service levels are met.",Functional
"As an Applicant, I want to Request a Plan Review Meeting, so that I can meet with the Plan Review Staff regarding the plan review.",Functional
"As a Plan Review Staff member, I want to successfully Conduct a Plan Review Meeting with the Applicant and record the outcome, so that I can listen to it again.",Functional
"As a Plan Review Staff member, I want to Review Plans, so that I can review them for compliance and either approve, or fail or deny the plans and record any conditions, clearances, or corrections needed from the Applicant.",Functional
"As an Applicant, I want to Resubmit Plans, so that I can review revised plans.",Functional
"As a Plan Review Staff Member, I want to Review the Code Modifications submitted by the Applicant, so that I can review the request and if approved, associate it with the appropriate project.",Functional
"As a Plan Review Staff member, I want to Track the Completion of Required Plan Reviews, so that I can ensure all plan review tasks are completed, results have been sent to the Applicant and any downstream steps are initiated such has a final review or payment for permit issuance.",Functional
"As a Development Staff member, I want to Issue a Development-related Permit, so that I can grant the request to the Applicant to begin work.",Functional
"As a Staff member, I want to Manage Bonds, so that I can track and manage bonds throughout the lifecycle of the project until release.",Functional
"As an Applicant, I want to Complete Building Development Project, so that I can receive any posted bond and/or obtain occupancy.",Functional
"As a Customer, I want to Request Inspection, so that a County inspector is assigned to perform an inspection of my project.",Functional
"As an Inspection Staff member, I want to Create an Inspection, so that I can schedule and assign the inspection.",Functional
"As an Inspection Staff Supervisor, I want to Assign Inspections, so that I can make sure the appropriate Inspector receives the work.",Functional
"As an Inspection Supervisor, I want to Manage Inspector Workload, so that I can meet service level and quality requirements.",Functional
"As an Inspector, I want to Conduct Inspections, so that I can validate Customer compliance with code and regulations and provide results of the inspection to the Customer.",Functional
"As an Enforcement Staff member, I want to Issue a Notice of Violation, so that I can provide formal communication to the responsible party.",Functional
"As a  Staff member, I want to search for Property information, so that I can obtain all associated current and historic owners, permits, and applications.",No-Functional
"As a Staff member, I need to be notified when Geospatial attributes change, so that I can ensure that I am reviewing the permit/application to the most current data and appropriate standards.",Functional
"As a County Staff Member, I want to create a custom query/report outside of the common querying/reporting functionality, so that I can fulfill a request.",Functional
"As a Staff member, I want to create each condo unit, so that I can associate it to the child parcel and address after the condominiums are recorded in the system.",Functional
"As a Technical Staff member, I want to update the GIS Property Management, so that I can successfully update the transactional Parcel Pin to reference the GIS layer where the Split or Merged Parcel Pin exists.",Functional
"As a Staff member, I want to Send or Post Citations and Fines, so that I can successfully send the Notice Of Violation document to the property owner and log information about the action.",Functional
"As a user, I want to click on the address, so that it takes me to a new tab with Google Maps.",No-Functional
"As a user, I want to be able to anonymously view public information, so that I know about recycling centers near me before creating an account.",Functional
"As a user, I want to be able to enter my zip code and get a list of nearby recycling facilities, so that I can determine which ones I should consider.",Functional
"As a user, I want to be able to get the hours of each recycling facility, so that I can arrange drop-offs on my off days or during after-work hours.",Functional
"As a user, I want to have a flexible pick up time, so that I can more conveniently use the website.",No-Functional
"As a user, I want to be able to select different types of recyclable waste, so I have and get a list of facilities that accept each type and their opening hours, so that I can find an optimal route and schedule.",Functional
"As a user, I want to add donation centers as favorites on my profile, so that I can view them later.",Functional
"As a user, I want to be able to give my email ID, so that I can receive notifications for new events as they are posted.",Functional
"As a user, I want to be able to view a map display of the public recycling bins around my area.",Functional
"As a user, I want to be able to view a map display of the special waste drop off sites around my area.",Functional
"As a user, I want to be able to view a map display of the special waste drop off sites around my area.",Functional
"As a user, I want to be able to view the safe disposal events currently being organised around my area.",Functional
"As a user, I want to choose a flexible pick up time, so that I can more conveniently use the website.",No-Functional
"As a user, I want to view user documentation for the website, so that I know how to use the web app.",No-Functional
"As a user, I want to get feedback when I enter an invalid zip code.",No-Functional
"As a user, I want to be able to create an account, so that I can create my own profile.",Functional
"As an admin, I want to be able to add or remove recycling facilities' information, so that users get the most recent information.",Functional
"As an admin, I want to be able to read users' feedback and complaints, so that we can add more features and keep improving the service we provide to them.",Functional
"As a user, I want to be able to check transaction history and keep a record of it, so that I can go back when needed.",Functional
"As a user, I want to have a great UI and UX from the sites, so that I have a pleasant experience when navigating through them.",No-Functional
"As a user, I want to be able to access the site and do all the other stuffs on all of my electronic devices.",No-Functional
"As an admin, I want to be able to block specific users based on IP address, so that I can prevent spamming on the websites.",No-Functional
"As an admin, I want to view a dashboard that monitors all the sites' statuses, so that I can have a sense of what people are doing on our sites and know the service status.",Functional
"As an admin, I want to have all data encrypted, so that important information will not be stolen during a server breach or an attack.",No-Functional
"As an executive, I want to have full access to data related to my company, so that I can have a sense of my company's performance.",Functional
"As an employee, I want to access the route planning system during work, so that I can be guided through the neighbourhood.",Functional
"As an employee from the HR department, I want to have access to the full information of all employees working for this business.",Functional
"As a developer, I want to access an API from the website, so that I can integrate it and implement certain features in my own iOS application.",Functional
"As a user, I want to be able to receive tempting rewards, so that I have a reason to use the website.",Functional
"As a user, I want to have my personal information kept securely in the database of the website, so that I will not suffer from identity theft or telephone harassment.",No-Functional
"As an admin, I want to handle all users' activities, so that I can manage more efficiently.",Functional
"As a company, I want to have a website that is easy to use, so that I can upload or delete stuff step by step.",No-Functional
"As an employee, I want to get quick notifications, so that I can process cases the first time.",Functional
"As a company accountant, I want to view all available activity fees online, so that I can easily create a bill statement.",Functional
"As a developer, I want to use bootstrap in the process of developing, so that I can easily design my website.",Functional
"As a developer, I want to attend some UI/UX lessons, so that I can develop an awesome and beautiful features website.",Functional
"As a user, I want to view all locations of recycling centers on a map, so that I can check which routes to take to drop off waste.",Functional
"As a user, I want to upload my week's schedule, so that I can get recommendations for recycling centers that best fit my availability.",Functional
"As a user, I want to link my email account to my profile, so that I can get a temporary password in case I forget my own one.",Functional
"As a user, I want to contact the administrators, so that I can give feedback or ask for help.",Functional
"As an admin, I want to add recycling center information, so that I can keep the database up-to-date over time.",Functional
"As an admin, I want to view user error logs, so that I can fix or review any issues that are being faced by users of the system.",No-Functional
"As an admin, I want to onboard recycling centers on the platform, so that I can increase information accuracy.",Functional
"As a superuser, I want to update the recycling center information, so that I can provide the latest information about the recycling center.",Functional
"As a superuser, I want to view users' stats, so that I can view in real-time how many users have visited my recycling center information and their recyclable waste.",Functional
"As a superuser, I want to reply to user questions, so that I can answer any questions about my recycling center.",Functional
"As an admin, I want to be able to have a dashboard that shows usage stats and locations, so that I can identify the neighbourhoods with the largest number of drop-offs and to try getting more facilities involved.",Functional
"As an admin, I want to be able to communicate directly with facilities, so that I can keep them updated about features we have on our website.",Functional
"As a user, I want to be able to browse through the list of facilities and see which ones are environment-friendly, so that I can know for sure my waste is not going to leave a negative ecological footprint.",No-Functional
"As a recycling facility representative, I want to be able to update my information and the type of material I accept, so that I can avoid any miscommunication with users.",Functional
"As a recycling facility representative, I want to have access to user stats and schedules, so that I can adjust my hours and/or upgrade equipment and capacity in order to be able to accommodate larger amounts of recyclable materials.",Functional
"As a recycling facility, I want to be able to communicate directly with the site admin and convey any issues or concerns I have, so that they fix them.",Functional
"As a Data Publishing User, I want to be able to edit a dataset I have published, so that I can correct or enhance existing data.",Functional
"As a Data Publishing User, I want to be able to edit the model of data I have already imported, so that I can fix bugs or make enhancements in the API built for my data.",Functional
"As a Data Publishing User, I want to be able to delete a dataset I have published, so that I can remove unwanted data from OpenSpending.",Functional
"As a Platform Administrator, I want to be able to Hide any dataset already added as Public, so that I can maintain Public/Hidden status for other users.",Functional
"As a Platform Administrator, I want to have a view on all datasets published by all users, so that I can perform management actions on any dataset.",Functional
"As a Platform Administrator, I want to be able to delete any dataset published, so that I can deal with takedown requests, or clean up test datasets.",Functional
"As a Data Publishing User, I want to be able to edit the data source of data I have already imported, so that I can fix bugs or make enhancements in the API built for my data.",Functional
"As a Data Publishing User, I want to have the Packager support Constants, so that I can model dimensions that may not exist in the source file.",Functional
"As a Data Publishing User, I want to be able to import data in Excel, so that I do not have to convert data formats in order to use the data packager.",Functional
"As a Data Publishing User, I want to know what my data needs to be able to be visualised on a map, so that I can visualise it on a map.",Functional
"As a Data Publishing User, I want to be able to import data in JSON, so that I do not have to convert data formats in order to use the data packager.",Functional
"As a Data Publishing User, I want to be able to import data from a Google Spreadsheet, so that I do not have to convert data formats in order to use the data packager.",Functional
"As a Data Publishing User, I want to be able to import data from Fiscal Data Package descriptor file, so that I do not have to convert data formats in order to use the data packager.",Functional
"As a Data Publishing User, I want to be able to provide the Platform Administrator with additional GeoJSON sources, so that I can improve the map-based visualisations of my data.",Functional
"As a Data Consuming User, I want to be able to filter, sort and aggregate data by multiple dimensions and measures, so that I can get more granular views on the data.",Functional
"As a Data Consuming User, I want to be able to download a CSV of the data that is used in any visualisation I am viewing, so that I can use the data in other tools.",Functional
"As a Data Consuming User, I want to be able to change the display of all monetary measures across a set of currencies, so that I can understand localised amounts in non-localised figures.",Functional
"As a Data Consuming User, I want to see textual descriptions that accompany embedded visualisations, so that I can more easily understand what I am viewing.",Functional
"As a Data Consuming User, I want to be able to share a view state as a URL to social networks, so that I can share data that I have found with others.",Functional
"As a Data Consuming User, I want to be able to download an image of a particular view state, so that I can use it offline.",Functional
"As an API User, I want to be able to understand if a user is an Administrator, so that I can offer functionality based on Platform Administration privileges.",Functional
"As an API User, I want to be able to get bordering regions|cities when I query a region|city, so that I can provider wider visual context for mapping visualisations.",Functional
"As an API User, I want to be able to dynamically request polygons based on the query made, so that I can provide maps that match the query.",Functional
"As an API User, I want to have a flexible API using HASC codes for countries, regions and cities, so that I can visualise budget data on maps.",Functional
"As an API User, I want to be able to get a CSV output of any cube-based query, so that I can use work with tools that read CSV.",Functional
"As an API User, I want to be able to normalise measures by GDP, so I work with datasets in reference to their contextual constraints.",Functional
"As an API User, I want to be able to normalise measures by GINI and related socioeconomic indexes, So that I work with datasets in reference to their contextual constraints.",Functional
"As an API User, I want to be able to get a relative percentage of a measure to the total of the dataset it comes from, So that I can build alternative displays of the data.",Functional
"As an API User, I want to be able to persistently store visualisation state in the database, So that such can be shared more easily and contribute to a visualisation gallery.",No-Functional
"As a Data Publishing User, I want to have my dataset update automatically as the source file/files changes, So that OpenSpending always shows current data.",No-Functional
"As an OpenSpending Community Member, I want to have a blog that highlights any and all projects in the open fiscal space, So that I can relate to openspending.org as the central hub of fiscal openness.",No-Functional
"As a User, I want to be able to set my own username, So that my data is more easily discoverable.",No-Functional
"As a Data Publishing User, I want to be able to add a dataset in a Hidden state, So that I can work on a dataset before having it discoverable via OpenSpending user interfaces.",No-Functional
"As a Data Publishing User, I want to be able to Hide a dataset that I have already added as Public, So that I can fix my mistakes or have a dataset primarily for my own use.",No-Functional
"As a Data Publishing User, I want to have a view on all the datasets I have published, So that I can perform management actions on my own datasets.",No-Functional
"As a Data Publishing User, I want to have a functioning Python Client, So that I can add data to the datastore in bulk from the command line or my own programs.",Functional
"As an OpenSpending Community Member, I want to have an app where I can find examples of use of fiscal data visualisations, So that I can find guidance in creating my own with Open Spending.",No-Functional
"As a Data Publishing User, I want to know if my CSV file is valid, So that I can fix possible data issues before publishing it on Open Spending.",No-Functional
"As a Data Consuming User, I want to be able to search any dataset published and publicly accessible by their title and metadata, So that I can find the datasets I'm interested in.",Functional
"As a Data Consuming User, I want to visualize by default in treemap, bubble tree, map and pivot table the most recent year when my dataset contain multiple years, So that I'm not confused with the amounts.",No-Functional
"As an API user, I want to be able to change the colors of the embedded visualisations in my own platform, So that I can customize the visualisations.",Functional
"As an API user, I want to be able to change some of the styling of the embedded Viewer in my own platform, So that I can brand it to my own organisation's color scheme.",Functional
"As a Platform administrator, I want to be able to translate the data types hierarchies of the Viewer while in embed mode, So that my users can understand the interface in their native language.",No-Functional
"As a Developer, I want to get a Data Package into Node, so that I can start using the data for doing analysis and visualizations.",Functional
"As a Researcher, I want to get a Data Package into Julia in seconds, so that I can start using the data for doing analysis and visualizations.",Functional
"As a Publisher, I want to add type information to my data, so that it is more useful to others and can be used better with tools like visualization programs.",No-Functional
"As a Publisher, I want to be able to provide a visualization of data in the Data Package, so that I can provide my analysis and show my work to users of the data.",Functional
"As a Researcher, I want to be able to save new visualizations, so that I can share them with others or include them in the Data Package.",Functional
"As a ResearcherPublisher, I want to know that my data conforms to its Data Package profile, so that I can feel trust in the validity and usefulness of the data.",No-Functional
"As a ResearcherPublisher, I want to understand the ways in which my data is invalid, so that I can know how to fix it.",No-Functional
"As a Researcher, I want to get a Data Package into R in seconds, so that I can start using the data for doing analysis and visualizations.",Functional
"As a Researcher, I want to get a Data Package into Excel in seconds, so that I can start using the data for doing analysis and visualizations.",Functional
"As a Researcher, I want to get a Data Package into SPSS in seconds, so that I can start using the data for doing analysis and visualizations.",Functional
"As a Researcher, I want to get a Data Package into STATA in seconds, so that I can start using the data for doing analysis and visualizations.",Functional
"As a Researcher, I want to be able to translate my EML dataset to a Data Package, so that I can benefit from the wide array of tools available for Data Packages.",Functional
"As a Researcher, I want to get a Data Package into LibreOffice/OpenOffice in seconds, so that I can start using the data for doing analysis and visualizations.",Functional
"As a Developer, I want to get a Data Package into Python in seconds, so that I can start using the data for doing analysis and visualizations.",Functional
"As a Developer, I want a jQuery plugin for Core Data Packages, so that I can use it to apply to form control that uses a core dataset for autocompletion.",Functional
"As a Researcher, I want to get my Excel spreadsheet into a Data Package, so that I can benefit from better tooling and standardization.",Functional
"As a Developer, I want to do exploratory data analysis in R and operationalize that analysis in Python, so that I can use the best tool for the job.",Functional
"As a Developer, I want to get a Data Package into Clojure in seconds, so that I can start using the data in doing analysis and visualizations.",Functional
"As a Developer, I want to get a Data Package into Julia in seconds, so that I can start using the data in doing analysis and visualizations.",Functional
"As a Developer, I want to get a Data Package into C++ in seconds, so that I can start using the data in doing analysis and visualizations.",Functional
"As a Machine Learning expert, I would like to package ML datasets as data packages, so that I can easily import them into my ML platform, so that I can start using the data in doing analysis.",Functional
"As a Developer, I want an Elasticsearch integration, so that I can integrate data-packaged data with pipelines that use Elasticsearch.",Functional
"As a Developer, I want an SPSS integration, so that I can integrate data-packaged data with pipelines that use SPSS.",Functional
"As a Developer, I want an EPrints integration, so that I can integrate data-packaged data with pipelines that use EPrints.",Functional
"As a Developer, I want a Mongo integration, so that I can integrate data-packaged data with pipelines that use Mongo.",Functional
"As a Developer, I want a DAT integration, so that I can integrate data-packaged data with pipelines that use DAT.",Functional
"As a ResearcherGovernment Publisher, I want to add general reference data to my narrow dataset, so that my dataset is more useful.",No-Functional
"As a ResearcherGovernment Publisher, I want to add general country names to my dataset that only contains country codes, so that my dataset is more readable.",No-Functional
"As a ResearcherGovernment Publisher, I want to add reference data on inflation to my spending dataset, so that the spending lines in my dataset is more understandable.",No-Functional
"As a ResearcherGovernment Publisher, I want to map lines in my dataset using geographic data in my dataset, so that my dataset is more engaging for non-technical users.",No-Functional
"As a Researcher, I want to be able to reference a remote-controlled vocabulary for my dataset, so that I can be sure that column of my dataset are valid against a single shard list of terms.",No-Functional
"As a developer, I want an DSpace integration, so that I can integrate data-packaged data with pipelines that use Dspace.",Functional
"As a Developer, I want Feather integration, so that I can integrate data-packaged data with pipelines that use Feather.",Functional
"As a Developer, I want HDF5 integration, so that I can integrate data-packaged data with pipelines that use HDF5.",Functional
"As a Researcher, working with data, I want an Microsoft Power BI integration, so that I can import datasets without downloading them locally.",Functional
"As a ResearcherPublisher, I want an integration with Zenodo, so that when I store my dataset in GitHub, I don’t have to retype descriptive information about my dataset.",No-Functional
"As a Publisher, I would like an integration with Open Refine, so that I can output cleaned Data Packages.",Functional
"As a ResearcherPublisher, I want to publish Data Packages to CKAN, so that my data is findable, and I can have a data API.",Functional
"As a ResearcherDeveloper, would like the ability import/export from MS-SQL, so that I can use Data Packages in workflows that involve MS-SQL.",Functional
"As a Researcher, working with data in NetCDF, I want NetCDF integration, so that I can store my data in plaintext while still retaining its metadata.",Functional
"As a Researcher, I want an integration with https://data.mendeley.com/, so that I can validate my data upon ingest to the service.",Functional
"As a Publisher, I would like an integration with Excel, so that I can output cleaned Data Packages.",Functional
"As a Publisher, I want to store my data quickly and easily online.",Functional
